STATUS | wrapper  | 2013/03/10 16:43:44 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/03/10 16:43:44 | Java Service Wrapper Professional Edition 32-bit 3.5.17
STATUS | wrapper  | 2013/03/10 16:43:44 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/03/10 16:43:44 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/03/10 16:43:44 | 
ERROR  | wrapper  | 2013/03/10 16:43:44 | License Error:
ERROR  | wrapper  | 2013/03/10 16:43:44 | A valid license was not found in the Wrapper configuration file.
ERROR  | wrapper  | 2013/03/10 16:43:44 | 
ERROR  | wrapper  | 2013/03/10 16:43:44 | The Java Service Wrapper requires a License Key to activate the
ERROR  | wrapper  | 2013/03/10 16:43:44 | software.  License Keys can be purchased on the Java Service Wrapper
ERROR  | wrapper  | 2013/03/10 16:43:44 | web site:
ERROR  | wrapper  | 2013/03/10 16:43:44 |   http://wrapper.tanukisoftware.com/purchase
ERROR  | wrapper  | 2013/03/10 16:43:44 | 
ERROR  | wrapper  | 2013/03/10 16:43:44 | You can also immediately obtain a one-month Free trial license:
ERROR  | wrapper  | 2013/03/10 16:43:44 |   http://wrapper.tanukisoftware.com/trial
ERROR  | wrapper  | 2013/03/10 16:43:44 | 
ERROR  | wrapper  | 2013/03/10 16:43:44 | License Keys can be generated for any of the following HostIds.
STATUS | wrapper  | 2013/03/10 16:43:44 |   HostId(s):
STATUS | wrapper  | 2013/03/10 16:43:44 |     001d7d9f333e (#1)
ERROR  | wrapper  | 2013/03/10 16:43:44 | 
STATUS | wrapper  | 2013/03/10 16:43:44 | 
STATUS | wrapper  | 2013/03/10 16:43:44 | Optional host name for license: Elliott-PC
STATUS | wrapper  | 2013/03/10 16:43:44 | <-- Wrapper Stopped
STATUS | wrapper  | 2013/03/10 16:43:56 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/03/10 16:43:56 | Java Service Wrapper Professional Edition 32-bit 3.5.17
STATUS | wrapper  | 2013/03/10 16:43:56 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/03/10 16:43:56 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/03/10 16:43:56 | 
ERROR  | wrapper  | 2013/03/10 16:43:56 | License Error:
ERROR  | wrapper  | 2013/03/10 16:43:56 | A valid license was not found in the Wrapper configuration file.
ERROR  | wrapper  | 2013/03/10 16:43:56 | 
ERROR  | wrapper  | 2013/03/10 16:43:56 | The Java Service Wrapper requires a License Key to activate the
ERROR  | wrapper  | 2013/03/10 16:43:56 | software.  License Keys can be purchased on the Java Service Wrapper
ERROR  | wrapper  | 2013/03/10 16:43:56 | web site:
ERROR  | wrapper  | 2013/03/10 16:43:56 |   http://wrapper.tanukisoftware.com/purchase
ERROR  | wrapper  | 2013/03/10 16:43:56 | 
ERROR  | wrapper  | 2013/03/10 16:43:56 | You can also immediately obtain a one-month Free trial license:
ERROR  | wrapper  | 2013/03/10 16:43:56 |   http://wrapper.tanukisoftware.com/trial
ERROR  | wrapper  | 2013/03/10 16:43:56 | 
ERROR  | wrapper  | 2013/03/10 16:43:56 | License Keys can be generated for any of the following HostIds.
STATUS | wrapper  | 2013/03/10 16:43:56 |   HostId(s):
